name,department,age,availability,availableFrom,availableTo,reviews
Elita,Gynecologist,57,false,5:29 PM,11:41 PM,"[{""type"":""Cleanliness"",""star"":3},{""type"":""On time"",""star"":3},{""type"":""Polite"",""star"":4},{""type"":""Economical"",""star"":3}]"
Minny,Cardiology,44,true,6:04 PM,10:38 PM,"[{""type"":""Cure rate"",""star"":2},{""type"":""Cure rate"",""star"":5},{""type"":""On time"",""star"":1},{""type"":""Diagnosis"",""star"":5},{""type"":""Cure rate"",""star"":5},{""type"":""Polite"",""star"":4},{""type"":""Cure rate"",""star"":3}]"
Reggi,ICU,36,false,6:20 PM,3:53 AM,"[{""type"":""Diagnosis"",""star"":4},{""type"":""Polite"",""star"":3},{""type"":""On time"",""star"":5},{""type"":""On time"",""star"":4},{""type"":""Polite"",""star"":4},{""type"":""Cure rate"",""star"":5}]"
Aubrey,Dental,52,false,10:18 AM,11:03 AM,"[{""type"":""On time"",""star"":4},{""type"":""Diagnosis"",""star"":1}]"
Val,Gynecologist,45,false,5:50 AM,2:29 AM,"[{""type"":""Cure rate"",""star"":3},{""type"":""Diagnosis"",""star"":2},{""type"":""On time"",""star"":3},{""type"":""Cure rate"",""star"":3}]"
Goober,Dental,54,false,2:45 PM,10:18 PM,"[{""type"":""Polite"",""star"":4},{""type"":""Economical"",""star"":1},{""type"":""Cure rate"",""star"":2},{""type"":""Cleanliness"",""star"":1},{""type"":""Cleanliness"",""star"":3}]"
Adeline,Dental,59,false,6:05 PM,6:19 AM,"[{""type"":""Cleanliness"",""star"":3},{""type"":""Cleanliness"",""star"":2},{""type"":""Diagnosis"",""star"":2},{""type"":""Polite"",""star"":3},{""type"":""Economical"",""star"":5}]"
Trescha,ENT,65,true,11:19 AM,4:59 PM,"[{""type"":""Cure rate"",""star"":1},{""type"":""Economical"",""star"":4},{""type"":""On time"",""star"":2},{""type"":""Cleanliness"",""star"":4},{""type"":""On time"",""star"":1},{""type"":""Cleanliness"",""star"":5}]"
Aldric,ICU,40,true,10:02 AM,10:36 AM,"[{""type"":""Economical"",""star"":3}]"
Bernardo,Cardiology,55,true,9:52 AM,8:07 PM,"[{""type"":""Cleanliness"",""star"":4},{""type"":""On time"",""star"":1}]"
Alleen,ENT,38,true,4:47 PM,5:41 AM,"[{""type"":""Economical"",""star"":4},{""type"":""Cleanliness"",""star"":4},{""type"":""Diagnosis"",""star"":3},{""type"":""Economical"",""star"":4},{""type"":""Economical"",""star"":2},{""type"":""Cure rate"",""star"":2}]"
Emiline,Dental,66,true,3:25 PM,11:53 PM,"[{""type"":""Economical"",""star"":1},{""type"":""Polite"",""star"":4},{""type"":""Economical"",""star"":2},{""type"":""Cleanliness"",""star"":3},{""type"":""Cleanliness"",""star"":4}]"
Weston,Gynecologist,51,true,9:49 AM,7:08 AM,"[{""type"":""Polite"",""star"":5},{""type"":""Polite"",""star"":2},{""type"":""Economical"",""star"":2}]"
Zorina,Neurology,56,true,1:38 PM,7:02 AM,"[{""type"":""Polite"",""star"":1}]"
Bernadina,Gynecologist,53,false,7:51 PM,1:42 PM,"[{""type"":""Cure rate"",""star"":5},{""type"":""Cleanliness"",""star"":2},{""type"":""Cleanliness"",""star"":3}]"
Muffin,Neurology,57,true,2:24 AM,9:33 AM,"[{""type"":""Cleanliness"",""star"":2},{""type"":""Polite"",""star"":4},{""type"":""Cleanliness"",""star"":3},{""type"":""Diagnosis"",""star"":3}]"
Chico,ICU,35,false,12:57 AM,11:25 PM,"[{""type"":""Polite"",""star"":4},{""type"":""Polite"",""star"":4},{""type"":""On time"",""star"":2},{""type"":""Cleanliness"",""star"":4},{""type"":""Diagnosis"",""star"":5}]"
Emili,ENT,66,true,4:16 AM,2:57 AM,"[{""type"":""Cure rate"",""star"":5},{""type"":""Diagnosis"",""star"":5},{""type"":""Polite"",""star"":1},{""type"":""Cleanliness"",""star"":5}]"
Malory,ENT,44,false,7:25 PM,6:51 PM,"[{""type"":""Cure rate"",""star"":4},{""type"":""Cleanliness"",""star"":2},{""type"":""Cure rate"",""star"":2}]"
Karlotte,ICU,64,true,2:28 AM,8:36 AM,"[{""type"":""Polite"",""star"":1},{""type"":""On time"",""star"":4},{""type"":""Economical"",""star"":3},{""type"":""On time"",""star"":5},{""type"":""Polite"",""star"":3},{""type"":""Economical"",""star"":3},{""type"":""Economical"",""star"":2}]"
Rex,Gynecologist,51,true,7:30 PM,2:57 AM,"[{""type"":""Economical"",""star"":2}]"
Lelah,ENT,42,false,5:20 AM,9:48 AM,"[{""type"":""Diagnosis"",""star"":4},{""type"":""On time"",""star"":5},{""type"":""Polite"",""star"":1},{""type"":""Cleanliness"",""star"":2},{""type"":""On time"",""star"":2}]"
Burr,Cardiology,54,true,7:39 AM,3:35 PM,"[{""type"":""Polite"",""star"":2},{""type"":""Cleanliness"",""star"":1},{""type"":""Polite"",""star"":3},{""type"":""On time"",""star"":4},{""type"":""On time"",""star"":1},{""type"":""Cleanliness"",""star"":4}]"
Jay,ENT,68,false,3:30 PM,4:12 AM,"[{""type"":""Economical"",""star"":5},{""type"":""Cure rate"",""star"":3}]"
Anabella,Neurology,42,true,11:25 AM,8:56 PM,"[{""type"":""Cleanliness"",""star"":5}]"
Mia,Gynecologist,43,false,5:00 AM,7:33 AM,"[{""type"":""Cure rate"",""star"":2},{""type"":""Polite"",""star"":1}]"
Gena,ICU,33,true,12:42 PM,11:53 AM,"[{""type"":""Cure rate"",""star"":3},{""type"":""Diagnosis"",""star"":5},{""type"":""Polite"",""star"":2},{""type"":""Cure rate"",""star"":4},{""type"":""Economical"",""star"":4},{""type"":""Polite"",""star"":4}]"
Genevra,ENT,48,false,8:03 PM,8:37 PM,"[{""type"":""Polite"",""star"":4},{""type"":""Cleanliness"",""star"":2},{""type"":""On time"",""star"":3},{""type"":""On time"",""star"":3},{""type"":""Economical"",""star"":3},{""type"":""Polite"",""star"":3}]"
Nydia,Dental,52,true,3:44 PM,8:20 PM,"[{""type"":""Cleanliness"",""star"":3},{""type"":""On time"",""star"":3},{""type"":""Polite"",""star"":2},{""type"":""Polite"",""star"":1},{""type"":""Economical"",""star"":5}]"
Bird,ICU,42,true,4:06 AM,11:09 PM,"[{""type"":""Diagnosis"",""star"":5},{""type"":""Cleanliness"",""star"":4},{""type"":""Diagnosis"",""star"":4}]"
Christyna,Neurology,69,false,2:00 AM,6:47 PM,"[{""type"":""Cleanliness"",""star"":4},{""type"":""Economical"",""star"":4},{""type"":""Cleanliness"",""star"":3},{""type"":""On time"",""star"":5}]"
Doralynn,Neurology,51,true,12:39 AM,8:15 AM,"[{""type"":""Cleanliness"",""star"":2},{""type"":""Cure rate"",""star"":1},{""type"":""On time"",""star"":2},{""type"":""Cleanliness"",""star"":4},{""type"":""On time"",""star"":3},{""type"":""On time"",""star"":5}]"
Elysia,Gynecologist,38,false,11:46 PM,10:04 AM,"[{""type"":""Diagnosis"",""star"":1},{""type"":""Cure rate"",""star"":4},{""type"":""On time"",""star"":1},{""type"":""Diagnosis"",""star"":3},{""type"":""On time"",""star"":5},{""type"":""Cure rate"",""star"":1}]"
Aldridge,Neurology,47,false,10:42 PM,9:04 PM,"[{""type"":""Diagnosis"",""star"":2},{""type"":""Cleanliness"",""star"":2},{""type"":""Polite"",""star"":2},{""type"":""Diagnosis"",""star"":2},{""type"":""Polite"",""star"":1}]"
Mickie,ICU,65,true,7:24 PM,4:20 PM,"[{""type"":""Economical"",""star"":5},{""type"":""Cure rate"",""star"":3},{""type"":""Cure rate"",""star"":2},{""type"":""On time"",""star"":5},{""type"":""Cure rate"",""star"":4}]"
Bram,ICU,31,true,9:56 AM,9:51 AM,"[{""type"":""On time"",""star"":5},{""type"":""Cleanliness"",""star"":5},{""type"":""Polite"",""star"":2},{""type"":""Diagnosis"",""star"":4}]"
Ethyl,Neurology,57,true,9:10 PM,1:48 PM,"[{""type"":""Cleanliness"",""star"":3}]"
Laughton,Gynecologist,48,true,12:22 PM,2:31 AM,"[{""type"":""Economical"",""star"":3},{""type"":""Economical"",""star"":4},{""type"":""Polite"",""star"":4},{""type"":""Cleanliness"",""star"":2},{""type"":""Diagnosis"",""star"":2},{""type"":""Cleanliness"",""star"":3}]"
Helga,ENT,44,true,1:39 PM,5:11 PM,"[{""type"":""Economical"",""star"":3}]"
Phineas,Neurology,34,true,2:48 PM,3:27 PM,"[{""type"":""Cleanliness"",""star"":4},{""type"":""Diagnosis"",""star"":3},{""type"":""Polite"",""star"":5},{""type"":""Economical"",""star"":4}]"
